country,gdp.2005,pop.2005,unemp.2005,gdp.2006,pop.2006,unemp.2006,gdp.2007,pop.2007,unemp.2007,gdp.2008,pop.2008,unemp.2008
CL,181.652337025042,16.182721,9.34000015258789,193.127635486362,16.354504,9.02400016784668,202.601172713024,16.530195,8.42700004577637,209.752043005204,16.708258,9.28499984741211
CM,22.044058919062,17.73341,4.40000009536743,22.806269464917598,18.223674,3.69099998474121,23.9242788017318,18.730282,3.06299996376038,24.758949260439604,19.252666,3.2960000038147
CN,3562.11006096101,1303.72,4.5149998664856,4015.2445025605,1311.02,4.43100023269653,4586.64836385138,1317.885,4.34700012207031,5029.29107060601,1324.655,4.58699989318848
CO,230.473551392799,42.647731,11.8699998855591,245.954157224494,43.200901,11.5260000228882,262.527027188667,43.737512,11.2040004730225,271.146960850547,44.254972,11.2729997634888
CR,29.5396360717379,4.285502,6.57100009918213,31.6776359845108,4.345412,5.73999977111816,34.2650323946392,4.404628,4.48999977111816,35.858218735351095,4.463125,4.7810001373291
CU,49.4814773793051,11.261582,1.95000004768372,55.4518447061798,11.261248,1.91299998760223,59.4788336191821,11.251122,1.78799998760223,61.927474920461,11.236971,1.58299994468689
CV,1.2525639002118,0.463032,10.6190004348755,1.3525654761944799,0.46917,10.4429998397827,1.55775896415815,0.47506,10.289999961853,1.6613580437620799,0.480842,10.2390003204346
CW,NA,0.137658,NA,NA,0.141239,NA,NA,0.144056,NA,NA,0.14588,NA
CY,22.5686172610367,1.027662,5.30399990081787,23.632463210924,1.045507,4.54300022125244,24.8372623624553,1.063713,3.92199993133545,25.743030624419998,1.081563,3.65499997138977
CZ,184.954402823471,10.211216,7.92700004577637,197.470142753551,10.238905,7.14799976348877,208.46989885069002,10.298828,5.32000017166138,214.07025912750203,10.384603,4.39200019836426
DE,3202.8464511257403,82.469422,11.1669998168945,3325.0812254951497,82.376451,10.25,3424.05077625182,82.266372,8.65799999237061,3456.91752517573,82.110097,7.52400016784668
DJ,NA,0.783254,10.628999710083,NA,0.794563,10.4259996414185,NA,0.805451,10.2489995956421,NA,0.816358,10.1899995803833
DK,318.622825351085,5.419432,4.82999992370605,331.09056192779104,5.437272,3.8970000743866,334.100966204774,5.461438,3.80100011825562,332.39031331310304,5.493621,3.43400001525879
DM,0.41626499819491103,0.070589,NA,0.43565778327336,0.070718,NA,0.463338430723785,0.070795,NA,0.496331564505336,0.070827,NA
DO,40.689414522191804,9.097257,6.58699989318848,44.4224060205487,9.218686,5.65500020980835,47.716750200915705,9.338861,5.15799999237061,49.2482213330284,9.458075,4.76399993896484
DZ,142.183670715772,33.149724,15.2700004577637,144.600793117941,33.641002,12.2700004577637,149.51722008395,34.166972,13.789999961853,153.105633365965,34.730608,11.3299999237061
EC,58.8762856689747,13.825847,3.77800011634827,61.4689184716664,14.059384,3.54999995231628,62.8151271092433,14.296557,3.14199995994568,66.8083667760763,14.535739,3.91700005531311
EE,20.0073940860989,1.354775,8.03299999237061,21.9518646489045,1.34681,5.91499996185303,23.6144066962817,1.34068,4.59200000762939,22.412683023018904,1.33709,5.45499992370605
EG,162.28167222638,75.523569,11.1999998092651,173.387967296922,76.873663,10.4899997711182,185.677407198797,78.232126,8.80000019073486,198.965008971328,79.636079,8.51700019836426
ER,1.65238012239709,2.826659,5.3730001449585,1.63636497451846,2.918205,5.22599983215332,1.65971299095905,2.996536,5.09999990463257,1.4973427705192102,3.062779,5.05700016021729
ES,1354.51360558153,43.653155,9.14599990844727,1410.08560255984,44.397319,8.45199966430664,1460.9147886599199,45.226803,8.23200035095215,1473.87522382773,45.954106,11.253999710083
ET,17.8607759230952,76.346311,2.49699997901917,19.795942246210398,78.489206,2.37400007247925,22.0637984491645,80.674348,2.26799988746643,24.4441561294695,82.916235,2.21099996566772
FI,237.954222101415,5.246096,8.38399982452393,247.537613424007,5.266268,7.7189998626709,260.655464541708,5.28872,6.85400009155273,262.69899050961897,5.313399,6.36899995803833
FJ,3.03173828533158,0.821604,3.88599991798401,3.08790074810844,0.82787,3.85400009155273,3.06163338730472,0.83619,3.83400011062622,3.09325375997435,0.845361,3.87700009346008
